0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:26 +0800] "POST /SalonManagement/getAllPromoNoDetails HTTP/1.1" 200 1294
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:26 +0800] "GET /SalonManagement/getRequirements HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:26 +0800] "POST /SalonManagement/api/v1/getAllPackage HTTP/1.1" 200 1689
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:26 +0800] "POST /SalonManagement/api/v1/getAllProduct HTTP/1.1" 200 1172
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:26 +0800] "POST /SalonManagement/api/v1/getAllPackage HTTP/1.1" 200 1689
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:26 +0800] "POST /SalonManagement/api/v1/getAllService HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:27 +0800] "GET /SalonManagement/api/v1/getAllProduct HTTP/1.1" 200 1172
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:27 +0800] "GET /SalonManagement/api/v1/getAllService HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:27 +0800] "POST /SalonManagement/getAllPromoNoDetails HTTP/1.1" 200 1294
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:27 +0800] "POST /SalonManagement/api/v1/getAllProduct HTTP/1.1" 200 1172
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:27 +0800] "POST /SalonManagement/api/v1/getAllService HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:27 +0800] "POST /SalonManagement/api/v1/getAllPackage HTTP/1.1" 200 1689
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:27 +0800] "POST /SalonManagement/api/v1/getAllProduct HTTP/1.1" 200 1172
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:27 +0800] "POST /SalonManagement/api/v1/getAllService HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:27 +0800] "GET /SalonManagement/getRequirements HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:27 +0800] "POST /SalonManagement/api/v1/getAllPackage HTTP/1.1" 200 1689
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:28 +0800] "GET /SalonManagement/api/v1/getAllOtherCharge HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:28 +0800] "GET /SalonManagement/api/v1/getDependencies HTTP/1.1" 200 666
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:28 +0800] "GET /SalonManagement/getAllDiscountNoDetails HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:28 +0800] "GET /SalonManagement/api/v1/getAllProduct HTTP/1.1" 200 1172
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:28 +0800] "POST /SalonManagement/getServiceByType HTTP/1.1" 200 1823
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:28 +0800] "GET /SalonManagement/getAllDiscountNoDetails HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:28 +0800] "POST /SalonManagement/getPackageByType HTTP/1.1" 200 1689
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:29 +0800] "GET /SalonManagement/api/v1/getAllLocation HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:29 +0800] "POST /SalonManagement/getPromoByType HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:30 +0800] "GET /SalonManagement/:8080/SalonManagement/getImage?ImageID=37&type=product HTTP/1.1" 200 41908
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:30 +0800] "GET /SalonManagement/:8080/SalonManagement/getImage?ImageID=42&type=product HTTP/1.1" 200 54486
